Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16
4.0,8069,GRACH01,Ch-calvario,Peronospora,65%,65%,81%,85%,84%,89%,67%
2.0,8082,VIAPG02,Pg-SottoCantina,Oidium,49%,34%,25%,29%,36%,41%,30%
2.0,8082,VIAPG02,Pg-SottoCantina,Peronospora,51%,66%,75%,71%,64%,59%,70%
4.0,8104,GRAMER02,Mer-Calvario,Oidium,57%,59%,49%,55%,55%,47%,53%
4.0,8104,GRAMER02,Mer-Calvario,Peronospora,43%,41%,51%,45%,45%,53%,47%
3.0,8173,VIAVER02,Ver-Sotto cantina,Oidium,24%,27%,25%,30%,43%,41%,38%
3.0,8173,VIAVER02,Ver-Sotto cantina,Peronospora,76%,73%,75%,70%,57%,59%,62%
4.0,8183,GRACAR01,Car-Calvario,Oidium,30%,25%,36%,39%,33%,44%,41%
4.0,8183,GRACAR01,Car-Calvario,Peronospora,70%,75%,64%,61%,67%,56%,59%
4.0,8273,GRAMAL01,Mal-Calvario,Oidium,33%,38%,41%,34%,39%,43%,39%
4.0,8273,GRAMAL01,Mal-Calvario,Peronospora,67%,62%,59%,66%,61%,57%,61%
8.0,8280,GRARIB03,Rib-Calvario,Oidium,27%,33%,53%,54%,51%,50%,49%
8.0,8280,GRARIB03,Rib-Calvario,Peronospora,73%,67%,47%,46%,49%,50%,51%
8.0,8294,GRATR02,ToFr-StefanutCasa,Oidium,31%,37%,47%,42%,42%,51%,53%
8.0,8294,GRATR02,ToFr-StefanutCasa,Peronospora,69%,63%,53%,58%,58%,49%,47%
8.0,8330,GRATR03,ToFr-StefanutCasa1,Oidium,22%,27%,34%,30%,29%,44%,36%
8.0,8330,GRATR03,ToFr-StefanutCasa1,Peronospora,78%,73%,66%,70%,71%,56%,64%
8.0,8343,GRATR04,ToFr-Mossa,Oidium,29%,33%,36%,29%,34%,45%,39%
8.0,8343,GRATR04,ToFr-Mossa,Peronospora,71%,67%,64%,71%,66%,55%,61%
8.0,8345,GRAMAL02,Mal- Bratinis Fornace,Oidium,32%,41%,38%,34%,42%,46%,41%
8.0,8345,GRAMAL02,Mal- Bratinis Fornace,Peronospora,68%,59%,62%,66%,58%,54%,59%
8.0,8356,GRACH02,Ch-Bratinis Fornace,Oidium,33%,38%,42%,33%,37%,44%,43%
8.0,8356,GRACH02,Ch-Bratinis Fornace,Peronospora,67%,62%,58%,67%,63%,56%,57%
8.0,8368,GRACH03,Ch-pozzar,Oidium,40%,35%,23%,28%,36%,35%,38%
8.0,8368,GRACH03,Ch-pozzar,Peronospora,60%,65%,77%,72%,64%,65%,62%
3.0,8392,VIAPIC02,Pic-Sotto cantina,Oidium,33%,31%,17%,27%,26%,32%,30%
3.0,8392,VIAPIC02,Pic-Sotto cantina,Peronospora,67%,69%,83%,73%,74%,68%,70%
